cameo_root,cameo_label,commodity,lag_days,pearson_r,pearson_p,spearman_r,spearman_p
01,Make Public Statement,CL=F,0,,,,
01,Make Public Statement,CL=F,1,,,,
01,Make Public Statement,CL=F,5,,,,
01,Make Public Statement,CL=F,10,,,,
01,Make Public Statement,CL=F,20,,,,
01,Make Public Statement,GC=F,0,,,,
01,Make Public Statement,GC=F,1,,,,
01,Make Public Statement,GC=F,5,,,,
01,Make Public Statement,GC=F,10,,,,
01,Make Public Statement,GC=F,20,,,,
01,Make Public Statement,ZW=F,0,,,,
01,Make Public Statement,ZW=F,1,,,,
01,Make Public Statement,ZW=F,5,,,,
01,Make Public Statement,ZW=F,10,,,,
01,Make Public Statement,ZW=F,20,,,,
02,Appeal,CL=F,0,-0.01769928232351768,0.43792292612445455,-0.011725383435692831,0.6073462906431175
02,Appeal,CL=F,1,0.017189907940034804,0.45122293651924367,0.008630774659125604,0.7052538823701413
02,Appeal,CL=F,5,-0.028602415505539984,0.20994570780948446,-0.008394673271026219,0.7129548593211619
02,Appeal,CL=F,10,-0.025102690364669104,0.2712182525106883,-0.019118896775576745,0.4020679088744207
02,Appeal,CL=F,20,-0.017056662143405458,0.4559160659402645,-0.024515459086447856,0.283848590886884
02,Appeal,GC=F,0,0.03899664093143034,0.08116047225095731,0.018203892815656566,0.4157223292828405
02,Appeal,GC=F,1,-0.03799762024571459,0.0892661467082523,-0.026626283022309877,0.2338389173040981
02,Appeal,GC=F,5,-0.011091322074167569,0.6200015018881128,0.0063970205231039644,0.7748941415674877
02,Appeal,GC=F,10,0.020758125633469557,0.3533642996581353,-0.0015956711959688253,0.9431320422520375
02,Appeal,GC=F,20,-0.04086924236300447,0.06826893370544747,-0.012578564246258373,0.5748431538497691
02,Appeal,ZW=F,0,-0.014411219763776649,0.5219120599780741,-0.009939999508680842,0.6587075845361805
02,Appeal,ZW=F,1,0.04709864326313873,0.036259389427407446,0.040885355379267935,0.06913830871175937
02,Appeal,ZW=F,5,-0.04124052820377858,0.06675542500289326,-0.025491424559025866,0.25725440941741823
02,Appeal,ZW=F,10,0.024022714175138918,0.2856957037478971,0.008222380619874755,0.7148348500638879
02,Appeal,ZW=F,20,0.001581506811030628,0.9441167203695352,-0.02774451075208479,0.21871663142541498
03,Agree,CL=F,0,0.04871405361323709,0.03267215729828424,0.02223028953915026,0.32989285124531365
03,Agree,CL=F,1,-0.05885348356510313,0.009839937365773347,-0.019341572324080108,0.3966079139421369
03,Agree,CL=F,5,0.035997905617223415,0.11455043869078464,0.019400954157858936,0.3951594608878801
03,Agree,CL=F,10,0.008451806619275519,0.7110886081634195,0.0070947917838949945,0.7558594672753328
03,Agree,CL=F,20,0.018882510453456153,0.40913642669892136,-0.006676617577919414,0.7704140708605336
03,Agree,GC=F,0,-0.0032627093177195945,0.8840331253772197,-0.04648603122757528,0.03759319675027174
03,Agree,GC=F,1,-0.03302425297575466,0.13974578659149717,-0.001780478892090098,0.9365588662570461
03,Agree,GC=F,5,-0.025213364502793968,0.2596020350883782,-0.030435328550922583,0.17354085737350713
03,Agree,GC=F,10,0.014831639537746143,0.5072800980696606,0.03450458613144898,0.12283740224130761
03,Agree,GC=F,20,0.043922722964870986,0.050045586770538136,0.025428795080070163,0.2567444284019079
03,Agree,ZW=F,0,-0.0038456812361893095,0.864314339236171,-0.02989586566229672,0.1839370151338847
03,Agree,ZW=F,1,-0.0045617221943424525,0.8393673632812496,-0.0008221264036021833,0.9708585794819309
03,Agree,ZW=F,5,-0.02650949315584543,0.23873060632693768,-0.02250578416164107,0.3172238885902782
03,Agree,ZW=F,10,-0.010137619739929132,0.652364209245065,0.006486734880770042,0.7731604695031141
03,Agree,ZW=F,20,-0.0005041021374653015,0.9821742209857123,0.024475718301629725,0.27792520411591237
04,Consult,CL=F,0,-0.02642433452439054,0.24677862268145986,-0.04316662244320821,0.058411737051211575
04,Consult,CL=F,1,0.014923571305535089,0.5130862272743737,0.0275235027378878,0.22766135164159887
04,Consult,CL=F,5,0.015344727755720607,0.5012658042455166,0.022289301807962826,0.3286103394142139
04,Consult,CL=F,10,0.03659491125050941,0.10865789831636324,0.03769953314662563,0.09838920913225722
04,Consult,CL=F,20,-0.024511456765073016,0.28392723263479813,-0.00909248283470189,0.6910474625783136
04,Consult,GC=F,0,-0.02292577919906238,0.3053527159261649,-0.025083939308474107,0.2620565449913036
04,Consult,GC=F,1,0.004652095601013975,0.8352515047846113,-0.0012900547732964391,0.9540103837677709
04,Consult,GC=F,5,0.008874805628955625,0.691550107081939,0.006398124366786931,0.7748563451349012
04,Consult,GC=F,10,0.0070254641706392635,0.7534645725230258,0.0066680830438931695,0.7656289712052162
04,Consult,GC=F,20,-0.005723307813716659,0.7985537471012976,-0.0008059851094166652,0.9713294210635708
04,Consult,ZW=F,0,0.023461359748390823,0.2971071012404781,0.009087314581064945,0.6863551532268175
04,Consult,ZW=F,1,0.026127077445684984,0.24557522810167642,0.02753112586497825,0.22110804702830994
04,Consult,ZW=F,5,-0.019439327424376613,0.38765662542072804,0.0007890520717418317,0.9720304554203112
